Name,Cases,Population,Area
Beyla,2,188000,6738
Bo,91,561524,5473
Boffa,24,211063,5050
Bombali,227,434319,7985
Bomi County,87,82036,1942
Bong County,369,328919,8772
Bonthe,1,140845,3468
Conakry,199,2000000,450
Coyah,12,156000,2166
Dabola,4,182951,6350
Dalaba,6,155000,4400
Dinguiraye,1,195662,7965
Dubreka,21,131000,5676
Forecariah,16,136000,4200
Gbarpolu County,1,83758,9689
Grand Bassa,130,224839,7936
Grand Cape Mount,22,129055,5162
Grand Gedeh,3,126146,10484
Grand Kru,20,57106,3895
Gueckedou,362,405000,4400
Kailahun,529,409520,3859
Kambia,18,313765,3108
Kenema,427,545327,6053
Kerouane,24,125000,9750
Kindia,1,286000,9115
Kissidougou,8,283609,8300
Koinadugu,0,251091,12121
Kono,20,352328,5641
Kouroussa,4,160000,6260
Lofa County,793,270114,9982
Lola,11,124000,3940
Macenta,403,296000,8600
Margibi County,562,199689,2616
Maryland County,8,136404,2297
Montserrado County,1635,1144806,1909
Moyamba,55,252390,6902
Nimba County,246,468088,11551
Nzerekore,50,278000,4625
Pita,8,266000,4320
Port Loko,294,500992,5719
Pujehun,19,252390,4105
River Gee County,19,67318,5113
RiverCess County,10,65862,5594
Siguiri,6,244000,15500
Sinoe County,16,104932,10137
Telimele,26,284000,9000
Tonkolili,78,385322,7003
Western Rural,165,205400,4175
Western Urban,231,1473873,3568
Yomou,11,87000,2000
